,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
119,,368.0,10.0,11.0,,,,,,TURKEY:  NICAEA [IZNIK],40.0,29.0,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
120,,368.0,,,,,,3475.0,,TURKEY:  MARMARA SEA,40.5,29.6,,6.4,8.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
121,,369.0,,,,,,,,ITALY:  BENEVENTO,41.1,14.8,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
122,,382.0,,,,,,4273.0,,PORTUGAL:  CABO SAN VICENTE:  SW,36.0,-10.83,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
123,,394.0,,,,,0.0,,,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
124,,396.0,,,,,0.0,,,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
125,,407.0,4.0,1.0,,,,2315.0,,TURKEY:  MARMARA SEA,41.0,29.0,,6.6,8.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
126,,412.0,,,,,,,,TUNISIA:  UTIQUE,37.067,10.067,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
127,,419.0,,,,,,,,ISRAEL:  PALESTINE,31.2,34.2,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
128,,425.0,,,,,,,,"ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT",31.9,34.9,,,10.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
129,,427.0,,,,,0.0,,,AZERBAIJAN,40.5,46.5,12.0,6.7,10.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
130,,438.0,,,,,0.0,,,GREECE:  CRETE,35.5,25.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
131,,440.0,10.0,26.0,,,0.0,,,TURKEY:  ISTANBUL (CONSTANTINOPLE),41.0,29.0,,,7.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
132,,447.0,1.0,26.0,,,,41.0,,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.9,28.5,,7.3,9.0,,3.0,,,,,,3.0,,3.0,,,,3.0,,,,,,3.0,,3.0,,
133,,448.0,9.0,6.0,,,0.0,,,GREECE:  CRETE,35.0,25.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
134,,450.0,,,,,,4294.0,,INSTANBUL (CONSTANTINOPLE),40.4,28.4,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
135,,457.0,,,,,,,,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,,,10.0,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,
136,,458.0,9.0,,,,,,,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,,,9.0,80000.0,4.0,,,,,,3.0,,,,,80000.0,4.0,,,,,,3.0,,,,
137,,460.0,7.0,22.0,,,,,,THAILAND:  YONOK-NAGABANDHU,20.3,100.0,,,12.0,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,
138,,470.0,,,,,0.0,,,"FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ",44.4,4.3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
139,,477.0,9.0,25.0,,,0.0,,,TURKEY:  ISTANBUL (CONSTANTINOPLE),41.0,29.0,,,10.0,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
140,,478.0,9.0,25.0,,,,2317.0,,TURKEY:  MARMARA SEA,40.8,29.2,,7.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,
141,,494.0,,,,,0.0,,,LEBANON:  TARABULUS (TRIPOLIS); SYRIA,34.3,35.5,,,10.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
142,,499.0,8.0,4.0,,,,,,CHINA:  JIANGSU PROVINCE,32.1,118.8,,,6.0,,,,,,,,2.0,,3.0,,,,,,,,,,2.0,,3.0,,
143,,500.0,,,,,0.0,,,KAZAKHSTAN,42.7,76.5,20.0,6.7,8.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
144,,501.0,,,,,,,,NORTH KOREA:  PYONGYANG,39.0,125.3,,6.3,8.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,
145,,510.0,,,,,0.0,,,SOUTH KOREA:  KYONGJU,35.5,129.1,,6.3,8.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,
146,,512.0,5.0,21.0,,,,,,CHINA:  SHAANXI PROVINCE:  YINGXIAN,39.4,113.3,,7.5,10.0,5130.0,4.0,,,2720.0,4.0,,4.0,,,,,5130.0,4.0,,,2720.0,4.0,,4.0,,,,
147,,518.0,,,,,,,,"BALKANS NW:  MACEDONIA:  SKOPJE, STAMER",42.0,21.4,,,12.0,,,,,,,,4.0,,,,,,,,,,,,,,,,
148,,521.0,,,,,0.0,,,"GREECE:  DURRES,KORINTHOS",39.6,21.2,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
149,,522.0,,,,,0.0,,,SYRIA,36.2,36.1,,,10.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
150,,522.0,,,,,0.0,,,ALBANIA:  DURRES,41.2,19.3,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
151,,525.0,5.0,29.0,,,,,,"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG",36.25,36.1,,7.0,9.0,250000.0,4.0,,,,,,4.0,,,,,250000.0,4.0,,,,,,4.0,,,,
152,,527.0,,,,,0.0,,,GREECE-ALBANIA,40.1,20.8,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
153,,528.0,11.0,29.0,,,,,,TURKEY:  ANTAKYA (ANTIOCH),36.25,36.1,,7.1,10.0,4870.0,4.0,,,,,,4.0,,,,,4870.0,4.0,,,,,,4.0,,,,
154,,533.0,11.0,29.0,,,,,,SYRIA:  ALEPPO,36.2,37.2,,,,130000.0,4.0,,,,,,,,,,,130000.0,4.0,,,,,,,,,,
155,,543.0,,,,,,43.0,,TURKEY:  CYZICUS,40.3,27.8,,6.8,10.0,,,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,
156,,551.0,4.0,,,,,46.0,,GREECE:  MALIAKOS GULF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,551.0,7.0,7.0,,,,5586.0,,"GREECE:  SCHISMA, BOETIA",38.4,22.3,,7.1,9.0,5000.0,4.0,,,,,,4.0,,4.0,,,5000.0,4.0,,,,,,4.0,,4.0,,
